Date,Open,High,Low,Close,Volume
2021-09-01 01:00:00,3429.19,3445.0,3391.39,3398.13,31772.9237
2021-09-01 02:00:00,3398.13,3437.91,3382.22,3424.97,27457.6189
2021-09-01 03:00:00,3424.97,3447.0,3408.61,3420.7,24150.9904
2021-09-01 04:00:00,3420.7,3445.0,3408.78,3442.15,17023.4448
2021-09-01 05:00:00,3442.45,3461.94,3428.22,3461.0,31957.0465
2021-09-01 06:00:00,3461.0,3532.49,3454.51,3525.84,66538.30368
2021-09-01 07:00:00,3525.84,3533.3,3505.67,3519.69,27644.01079
2021-09-01 08:00:00,3519.68,3545.05,3500.18,3516.86,27398.1817
2021-09-01 09:00:00,3516.85,3537.48,3512.35,3531.99,30150.9029
2021-09-01 10:00:00,3531.99,3559.4,3524.19,3538.64,41372.28121
2021-09-01 11:00:00,3538.65,3553.44,3522.0,3543.58,27603.4265
2021-09-01 12:00:00,3543.59,3557.54,3526.22,3530.99,24817.4769
2021-09-01 13:00:00,3530.86,3545.0,3517.0,3536.01,25560.8515
2021-09-01 14:00:00,3536.01,3552.12,3517.11,3534.72,24381.9107
2021-09-01 15:00:00,3534.72,3566.41,3528.85,3529.5,31365.74147
2021-09-01 16:00:00,3529.5,3585.0,3529.49,3580.56,32031.75672
2021-09-01 17:00:00,3580.56,3790.0,3575.87,3741.58,133034.06906
2021-09-01 18:00:00,3741.58,3744.68,3681.69,3693.06,64613.5029
2021-09-01 19:00:00,3693.11,3723.42,3690.03,3697.28,24905.436
2021-09-01 20:00:00,3697.28,3720.0,3692.89,3713.11,22570.0052
2021-09-01 21:00:00,3713.1,3740.98,3710.0,3729.02,18706.2532
2021-09-01 22:00:00,3728.94,3784.3,3726.92,3768.7,20679.7371
2021-09-01 23:00:00,3768.7,3800.01,3751.77,3760.2,36850.99419
2021-09-02 00:00:00,3760.21,3842.0,3760.2,3826.82,33173.09266
2021-09-02 01:00:00,3826.82,3836.8,3769.5,3778.72,32949.6681
2021-09-02 02:00:00,3778.73,3802.9,3741.55,3771.5,35274.7247
2021-09-02 03:00:00,3771.5,3781.86,3733.0,3741.76,26874.7978
2021-09-02 04:00:00,3741.76,3769.17,3740.18,3763.31,16023.0738
