OpenTime,OMG-USDT_Open,OMG-USDT_High,OMG-USDT_Low,OMG-USDT_Close,OMG-USDT_volume,CloseTime,OMG-QuoteAssetVolume,OMG-NumberOfTrades,OMG-TBBAV,OMG-TBQAV,OMG-ignore,LTC-USDT_Open,LTC-USDT_High,LTC-USDT_Low,LTC-USDT_Close,LTC-USDT_volume,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USDT_Open,ETH-USDT_High,ETH-USDT_Low,ETH-USDT_Close,ETH-USDT_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USDT_Open,BTC-USDT_High,BTC-USDT_Low,BTC-USDT_Close,BTC-USDT_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1648810800000,5.87600000,5.87900000,5.75500000,5.77800000,151551.60000000,1648814399999,882903.95550000,4118,67910.00000000,395713.68370000,0,122.40000000,122.80000000,121.80000000,122.10000000,11475.14800000,1403382.08310000,2656,6213.98000000,760175.67580000,0,3283.96000000,3303.69000000,3279.65000000,3284.96000000,17719.76970000,58306035.80131400,28290,10467.49950000,34445150.63299000,0,45223.00000000,45283.17000000,45022.82000000,45064.26000000,1890.82640000,85387616.86200620,42903,1002.99984000,45294109.15307700,0
1648814400000,5.77900000,5.78300000,5.62100000,5.71900000,381057.00000000,1648817999999,2173529.11960000,10718,176526.20000000,1006995.10810000,0,122.10000000,123.30000000,121.00000000,123.00000000,37470.30300000,4581288.91260000,6959,19836.40200000,2425593.17160000,0,3284.96000000,3313.66000000,3262.22000000,3308.44000000,36396.14620000,119691855.84226200,45759,19216.42260000,63216808.92443100,0,45064.25000000,45416.98000000,44701.01000000,45245.66000000,3791.81322000,170804648.24079660,79008,1840.45560000,82915976.70431040,0
1648818000000,5.71900000,5.97400000,5.71100000,5.88300000,688171.40000000,1648821599999,4039022.92960000,19139,349001.90000000,2047035.48830000,0,123.10000000,123.80000000,122.80000000,123.30000000,21695.05100000,2676897.60290000,4155,9953.52600000,1228563.39240000,0,3308.43000000,3367.23000000,3308.05000000,3349.21000000,48596.88970000,162366233.75634200,66611,26115.82710000,87227705.66644900,0,45245.66000000,45603.85000000,45237.91000000,45430.12000000,2943.26062000,133760900.72507330,71861,1477.20493000,67128400.15559280,0
1648821600000,5.88500000,6.01200000,5.86800000,5.91700000,375389.70000000,1648825199999,2230239.83380000,14284,192841.00000000,1145949.93110000,0,123.40000000,125.20000000,123.30000000,125.10000000,31501.72600000,3913506.94430000,5639,19204.27600000,2386067.73740000,0,3349.21000000,3424.73000000,3348.71000000,3422.08000000,48971.52680000,165921078.02951600,72934,26806.56490000,90811816.65900000,0,45430.12000000,46180.77000000,45420.00000000,46128.91000000,3713.30259000,169763018.12384010,82194,1960.47242000,89629876.59892140,0
1648825200000,5.91600000,5.98700000,5.89200000,5.91300000,205554.50000000,1648828799999,1218833.47020000,5320,96932.60000000,575009.39890000,0,125.20000000,125.80000000,124.40000000,124.90000000,39206.95800000,4906447.88750000,6153,18787.77200000,2351468.83850000,0,3422.07000000,3454.36000000,3414.58000000,3432.40000000,51749.30600000,177708139.41718200,87681,25146.59270000,86370235.06176200,0,46128.92000000,46720.09000000,46113.08000000,46532.00000000,5320.03900000,247273392.41938850,111491,2747.54932000,127702116.27044060,0
1648828800000,5.91600000,5.91900000,5.81300000,5.82100000,117105.20000000,1648832399999,687645.79210000,4202,54280.50000000,318867.27720000,0,124.90000000,125.00000000,123.80000000,123.90000000,25723.77900000,3202009.14490000,4305,12018.71200000,1496139.13060000,0,3432.39000000,3446.00000000,3408.58000000,3409.37000000,28316.51420000,97065343.20004800,40695,12406.76380000,42542551.82967100,0,46531.99000000,46587.81000000,46025.29000000,46025.29000000,2822.94745000,130828812.35590930,71038,1327.15806000,61498418.18281240,0
1648832400000,5.81800000,5.92000000,5.80700000,5.89300000,121044.10000000,1648835999999,711837.91410000,3613,63855.70000000,375270.26080000,0,124.00000000,125.10000000,123.70000000,124.90000000,17130.18300000,2133087.39430000,4145,9570.76800000,1192210.64150000,0,3409.37000000,3474.84000000,3404.51000000,3469.71000000,30240.95170000,104202672.79753100,56253,17418.44080000,60015091.12024700,0,46025.29000000,46549.31000000,45893.98000000,46465.50000000,2055.44446000,95076131.91871690,61990,1106.45171000,51181278.42600240,0
1648836000000,5.89300000,5.91500000,5.84800000,5.86800000,58972.50000000,1648839599999,346448.81020000,1529,28835.10000000,169342.26940000,0,124.90000000,125.00000000,124.30000000,124.90000000,16742.80700000,2087000.69230000,3309,8533.41300000,1064031.38520000,0,3469.71000000,3481.29000000,3446.03000000,3464.00000000,20766.63700000,71942754.45978800,39742,10656.82590000,36924659.72602200,0,46465.48000000,46602.00000000,46250.00000000,46334.63000000,1713.01446000,79510199.75541850,45355,869.25592000,40348107.72571180,0
1648839600000,5.87100000,5.93400000,5.87100000,5.93100000,76684.00000000,1648843199999,452304.36380000,1879,44294.80000000,261348.03220000,0,124.80000000,126.30000000,124.70000000,126.30000000,13724.06100000,1718864.07250000,3773,8563.54300000,1072967.97780000,0,3464.01000000,3470.94000000,3445.50000000,3469.66000000,12484.90150000,43171558.30862900,23864,6126.22230000,21184846.60037100,0,46334.62000000,46394.64000000,46140.00000000,46361.68000000,1361.13144000,62955535.05964690,41736,748.88331000,34637435.79863840,0
1648843200000,5.93100000,5.93500000,5.83100000,5.85400000,79709.60000000,1648846799999,468683.19680000,1857,43449.40000000,255458.86530000,0,126.20000000,126.40000000,125.00000000,125.30000000,13618.66600000,1711323.50550000,3891,5484.15800000,689312.36460000,0,3469.66000000,3472.52000000,3437.54000000,3441.12000000,11097.31110000,38348025.29071200,24315,4994.22080000,17258123.42379800,0,46361.68000000,46380.16000000,46075.85000000,46145.38000000,889.16549000,41131284.72994440,36878,411.65978000,19042909.22839390,0
